Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.602095131144,-6.03422729992,1,13511,9,1587,15108
numentaTM,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.602095131144,0.861272490375,1,1784,0,238,2023
numentaTM,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.602095131144,1.70586905384,6,3079,3,340,3428
numentaTM,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.602095131144,-2.0,0,1621,0,217,1838
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.602095131144,0.86067182427,2,3025,0,401,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.602095131144,1.5907368546,2,3025,1,400,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.602095131144,-3.4675768081,1,3020,3,404,3428
numentaTM,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.602095131144,0.0,0,3428,0,0,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.602095131144,0.0,0,3428,0,0,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.602095131144,-4.0,0,931,0,126,1057
numentaTM,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.602095131144,-3.13598133079,1,1876,0,248,2125
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.602095131144,0.986897900981,3,3025,0,400,3428
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.602095131144,-2.3608483789,5,13500,1,1575,15081
numentaTM,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.602095131144,0.711705338011,4,15800,1,1495,17300
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.602095131144,-1.38795902795,1,3023,3,401,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.602095131144,0.846537840284,4,3084,1,339,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.602095131144,-1.13844919792,2,3026,0,400,3428
numentaTM,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.602095131144,0.0,0,3428,0,0,3428
numentaTM,reward_low_FN_rate,realTraffic/speed_6005.csv,0.602095131144,0.732622001756,2,1885,1,237,2125
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.602095131144,1.72048222172,3,13501,0,1579,15083
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.602095131144,0.403580497483,17,13521,10,1568,15116
numentaTM,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.602095131144,-7.1846309122,1,8535,0,1034,9570
numentaTM,reward_low_FN_rate,realTraffic/speed_7578.csv,0.602095131144,0.305955198213,3,839,3,113,958
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.602095131144,-0.382129975922,5,13575,2,1521,15103
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.602095131144,1.65157140283,4,3546,1,470,4021
numentaTM,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.602095131144,0.86067182427,2,3025,0,401,3428
numentaTM,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.602095131144,0.0,0,3428,0,0,3428
numentaTM,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.602095131144,-2.0,0,3025,0,403,3428
numentaTM,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.602095131144,-1.31859985927,1,5789,2,725,6517
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.602095131144,-0.276424440498,4,13559,0,1589,15152
numentaTM,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.602095131144,-2.0,0,1218,0,163,1381
