Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.885321296382,-2.70434588032,1,13517,3,1587,15108
numentaTM,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.885321296382,0.861272490375,1,1784,0,238,2023
numentaTM,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.885321296382,1.37586905384,5,3079,3,341,3428
numentaTM,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.885321296382,-1.0,0,1621,0,217,1838
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.885321296382,0.86067182427,2,3025,0,401,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.885321296382,-0.358449197924,1,3025,1,401,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.885321296382,-1.35758576296,1,3022,1,404,3428
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.885321296382,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.885321296382,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.885321296382,-2.0,0,931,0,126,1057
numentaTM,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.885321296382,-1.13598133079,1,1876,0,248,2125
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.885321296382,0.986897900981,1,3025,0,402,3428
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.885321296382,-0.470848130204,5,13500,1,1575,15081
numentaTM,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.885321296382,0.601705338011,3,15800,1,1496,17300
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.885321296382,-0.637468857969,1,3023,3,401,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.885321296382,0.736537840284,4,3084,1,339,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.885321296382,-0.138449197924,2,3026,0,400,3428
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.885321296382,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,realTraffic/speed_6005.csv,0.885321296382,0.622622001756,2,1885,1,237,2125
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.885321296382,1.72048222172,3,13501,0,1579,15083
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.885321296382,1.86487861789,13,13528,3,1572,15116
numentaTM,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.885321296382,-3.1846309122,1,8535,0,1034,9570
numentaTM,reward_low_FP_rate,realTraffic/speed_7578.csv,0.885321296382,1.19595519821,3,840,2,113,958
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.885321296382,0.617870024078,5,13576,1,1521,15103
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.885321296382,1.50256984665,2,3546,1,472,4021
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.885321296382,0.86067182427,2,3025,0,401,3428
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.885321296382,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.885321296382,-1.0,0,3025,0,403,3428
numentaTM,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.885321296382,-0.538599859273,1,5789,2,725,6517
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.885321296382,0.723575559502,4,13559,0,1589,15152
numentaTM,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.885321296382,-1.0,0,1218,0,163,1381
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.885321296382,-1.04796749125,2,13660,0,1430,15092
numentaTM,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.885321296382,-2.22,0,1409,1,190,1600
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.885321296382,1.07007338381,7,13549,4,1583,15143
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.885321296382,0.420541993324,1,3546,2,472,4021
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.885321296382,1.72310160415,3,3026,0,399,3428
numentaTM,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.885321296382,1.60471036268,4,1233,0,160,1397
numentaTM,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.885321296382,-2.22,0,4034,1,530,4565
numentaTM,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.885321296382,0.733231007118,2,1155,0,151,1308
numentaTM,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.885321296382,1.7360251845,4,1871,0,246,2121
numentaTM,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.885321296382,1.7360251845,3,1875,0,247,2125
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.885321296382,-0.937048340915,1,3026,0,401,3428
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.885321296382,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.885321296382,0.292303655846,2,1230,2,163,1397
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.885321296382,0.86067182427,3,3025,0,400,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.885321296382,0.389865961751,5,3021,2,400,3428
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.885321296382,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.885321296382,1.71595613499,2,3026,0,400,3428
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.885321296382,0.749843206758,1,3024,1,402,3428
numentaTM,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.885321296382,-4.0,0,19677,0,2268,21945
numentaTM,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.885321296382,0.724138071413,2,3463,0,463,3928
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.885321296382,-1.0,0,3025,0,403,3428
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.885321296382,0.612055023812,4,13513,1,1583,15101
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.885321296382,-1.0,0,3025,0,403,3428
