Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaTM,standard,realTweets/Twitter_volume_PFE.csv,0.50131372235,0.737170931849,3,6627,6,543,7179
numentaTM,standard,realTraffic/occupancy_6005.csv,0.50131372235,-1.0,0,892,0,120,1012
numentaTM,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.50131372235,1.84267855442,6,1535,2,171,1714
numentaTM,standard,realTraffic/TravelTime_451.csv,0.50131372235,-1.0,0,809,0,110,919
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.50131372235,0.877971562297,4,1511,0,199,1714
numentaTM,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.50131372235,1.58308063318,2,1510,1,201,1714
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.50131372235,-1.67544663967,2,1503,5,204,1714
numentaTM,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.50131372235,0.0,0,1714,0,0,1714
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.50131372235,-0.22,0,1712,2,0,1714
numentaTM,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.50131372235,-2.0,0,462,0,66,528
numentaTM,standard,realTraffic/TravelTime_387.csv,0.50131372235,0.66172014267,2,935,1,125,1063
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.50131372235,0.326615238003,3,1506,6,199,1714
numentaTM,standard,realTweets/Twitter_volume_AMZN.csv,0.50131372235,1.54973950602,4,6369,1,791,7165
numentaTM,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.50131372235,-1.90546921143,7,7499,26,743,8275
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.50131372235,-0.136726588557,1,1512,0,201,1714
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.50131372235,0.843980545373,4,1540,1,169,1714
numentaTM,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.50131372235,1.72306597835,3,1511,0,200,1714
numentaTM,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.50131372235,0.0,0,1714,0,0,1714
numentaTM,standard,realTraffic/speed_6005.csv,0.50131372235,0.724369263782,1,942,1,119,1063
numentaTM,standard,realTweets/Twitter_volume_FB.csv,0.50131372235,1.3913702469,3,6369,3,791,7166
numentaTM,standard,realTweets/Twitter_volume_UPS.csv,0.50131372235,-0.297859204022,9,6559,16,599,7183
numentaTM,standard,realKnownCause/nyc_taxi.csv,0.50131372235,-3.29654960782,1,3888,1,520,4410
numentaTM,standard,realTraffic/speed_7578.csv,0.50131372235,1.44263110342,3,416,2,58,479
numentaTM,standard,realTweets/Twitter_volume_CVS.csv,0.50131372235,2.48146301717,4,6429,2,741,7176
numentaTM,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.50131372235,1.72254415578,2,1772,0,237,2011
numentaTM,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.50131372235,0.85979256691,3,1512,0,199,1714
numentaTM,standard,artificialNoAnomaly/art_flatline.csv,0.50131372235,0.0,0,1714,0,0,1714
numentaTM,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.50131372235,-1.0,0,1512,0,202,1714
numentaTM,standard,realKnownCause/ambient_temperature_system_failure.csv,0.50131372235,1.78609587513,4,2723,1,361,3089
numentaTM,standard,realTweets/Twitter_volume_CRM.csv,0.50131372235,2.47335372612,6,6399,1,795,7201
numentaTM,standard,realAdExchange/exchange-2_cpc_results.csv,0.50131372235,-1.0,0,608,0,83,691
numentaTM,standard,realTweets/Twitter_volume_GOOG.csv,0.50131372235,0.182847298652,5,6446,6,714,7171
numentaTM,standard,realKnownCause/rogue_agent_key_hold.csv,0.50131372235,-2.11,0,702,1,97,800
numentaTM,standard,realTweets/Twitter_volume_IBM.csv,0.50131372235,0.807911468757,4,6389,9,794,7196
numentaTM,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.50131372235,-0.02298164263,3,1765,9,234,2011
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.50131372235,1.70854131754,2,1511,0,201,1714
numentaTM,standard,realAdExchange/exchange-4_cpm_results.csv,0.50131372235,-0.24824173877,2,613,0,83,698
numentaTM,standard,realKnownCause/rogue_agent_key_updown.csv,0.50131372235,-2.2283174276,0,1990,3,266,2259
numentaTM,standard,realAdExchange/exchange-3_cpc_results.csv,0.50131372235,0.71958513382,2,575,0,77,654
numentaTM,standard,realTraffic/speed_t4013.csv,0.50131372235,1.73587128992,2,933,0,125,1060
numentaTM,standard,realTraffic/occupancy_t4013.csv,0.50131372235,1.7412169109,3,937,0,123,1063
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.50131372235,-2.11,0,1510,1,203,1714
numentaTM,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.50131372235,0.0,0,1714,0,0,1714
numentaTM,standard,realAdExchange/exchange-4_cpc_results.csv,0.50131372235,-1.34837058484,1,611,2,84,698
numentaTM,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.50131372235,0.85979256691,2,1512,0,200,1714
numentaTM,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.50131372235,-1.61305346575,2,1502,6,204,1714
numentaTM,standard,artificialNoAnomaly/art_noisy.csv,0.50131372235,0.0,0,1714,0,0,1714
numentaTM,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.50131372235,1.70150576911,2,1511,0,201,1714
