useDataReduction,combinedNum,convWidth,poolingWidth,useAverage,reward_low_FP_rate_score,reward_low_FN_rate_score,standard_score
False,,,,True,59.4590400086,72.1001928949,66.8933233202
True,2.0,,,False,55.7706876368,62.5186183704,59.2113374163
True,3.0,,,False,47.0256240711,54.0538069766,50.477262189
True,4.0,,,False,42.454663128,48.869339336,45.2867676247
True,2.0,3.0,3.0,False,52.6014114331,58.6507300652,55.6485088909
True,2.0,4.0,4.0,False,50.4184743835,54.6467534265,52.2287508294
True,2.0,3.0,3.0,True,53.8270771277,60.105371752,56.9684024556
True,2.0,4.0,4.0,True,48.6657265705,53.4111442579,50.8063715593
True,2.0,,,False,57.5455513584,64.9318928546,61.6219772129
True,2.0,,,False,57.5400616426,65.8953774281,62.2051351076
combine,2.0,,,False,63.5224442765,73.7417165854,69.6642990161
combine,3.0,,,False,62.3888589057,74.179667668,69.4591566744
combine,4.0,,,False,60.9902976469,72.7034111436,68.1068408534
combine,7.0,,,False,60.2029699142,69.2308235656,65.4841663829
combine,10.0,,,False,59.829899364,68.5991981354,64.9677627203
combine,2.0,,,,62.1951950641,72.1068555586,67.6430419586
combine,2.0,,,,60.8402589629,73.543320122,68.5046353553
combine,2.0,,,,55.8077075268,66.8219722898,62.6043591869
combine,2.0,,,,59.6212404413,71.8730004588,67.2922593089
combine,2.0,,,,52.6555950625,70.2741775943,64.0319560467
combine,2.0,,,,62.8251540984,72.8976898492,68.357613429
False,,,,False,54.563689457,73.2130617963,66.9924950532
combine,2.0,2.0,2.0,True,60.6124668884,72.7772831787,68.2176489059
combine,2.0,2.0,3.0,True,62.9596555506,74.6397194498,69.7181998643
combine,2.0,2.0,4.0,True,59.0257269387,66.501200676,62.2518010141
combine,2.0,3.0,2.0,True,60.5564009628,71.7081246726,67.0449456297
combine,2.0,3.0,3.0,True,61.5133205707,69.4325128643,65.7021407925
combine,2.0,2.0,2.0,False,62.8404674149,71.9415147622,67.8879192996
combine,2.0,2.0,3.0,False,64.6275105635,73.9500188768,69.9767524531
combine,2.0,2.0,4.0,False,60.709487096,67.8273441046,63.9573816839
combine,2.0,2.0,5.0,False,52.6499165342,57.3062776911,54.924933778
combine,2.0,2.0,6.0,False,52.6247611808,57.2995428375,54.9148314976
combine,2.0,2.0,7.0,False,52.8094146391,56.7639567505,54.5379989085
combine,2.0,2.0,8.0,False,51.4938035947,55.7021694281,53.3808403491
combine,2.0,2.0,9.0,False,50.42147942,53.2321148308,51.3998963841
combine,2.0,2.0,10.0,False,50.607497439,53.2929225525,51.4911079667
combine,2.0,3.0,2.0,False,60.3957312009,71.9764607422,67.4474497339
combine,2.0,3.0,3.0,False,58.9503272656,68.2365786212,64.4238334491
combine,2.0,3.0,4.0,False,59.4963861581,71.2134856474,66.3029870918
combine,2.0,3.0,5.0,False,53.1093924914,61.8914330748,57.537031216
combine,2.0,3.0,6.0,False,55.4269396333,63.2948078505,59.4607658663
combine,2.0,3.0,7.0,False,52.3262149466,57.7986047825,55.2323899324
combine,2.0,3.0,8.0,False,53.1663242898,58.0711508259,55.6412089975
combine,2.0,3.0,9.0,False,51.5551032205,56.6765091551,53.980280974
combine,2.0,3.0,10.0,False,52.5541401257,56.1824758835,54.1013000321
combine,2.0,4.0,2.0,False,60.8157266769,70.7378338255,66.3361543581
combine,2.0,4.0,3.0,False,58.7715608583,68.3004459299,64.0885999294
combine,2.0,4.0,4.0,False,57.7675221935,67.8810915059,63.2851334445
combine,2.0,4.0,5.0,False,56.7481036928,64.8737060506,60.7860301732
combine,2.0,4.0,6.0,False,52.9213989814,60.8546463033,56.7992108343
combine,2.0,4.0,7.0,False,54.5085771241,59.8440146953,57.0074013533
combine,2.0,4.0,8.0,False,52.6423606834,60.3802435109,56.9496756113
combine,2.0,4.0,9.0,False,51.2845032265,58.481120738,54.9630604174
combine,2.0,4.0,10.0,False,51.7752657961,57.6095184395,54.5177259351
combine,2.0,5.0,2.0,False,56.9441876207,68.0651823126,63.7357045033
combine,2.0,5.0,3.0,False,59.5087586515,69.4655682883,64.9742145014
combine,2.0,5.0,4.0,False,55.9294755122,63.8662418266,60.4545351538
combine,2.0,5.0,5.0,False,57.420204384,64.3022571937,61.0042377949
combine,2.0,5.0,6.0,False,56.1853301876,62.1345960824,58.8871768548
combine,2.0,5.0,7.0,False,52.5667148913,62.1784614514,58.3538990736
combine,2.0,5.0,8.0,False,52.5288859797,58.4768369289,55.2417136945
combine,2.0,5.0,9.0,False,51.6524279444,57.8942297892,54.9447929597
combine,2.0,5.0,10.0,False,52.9254870105,57.6055811654,54.4733171305
combine,2.0,6.0,2.0,False,58.4019613167,65.7607527473,62.4342325692
combine,2.0,6.0,3.0,False,57.2398850932,65.9327266705,61.8301244884
combine,2.0,6.0,4.0,False,54.9589449927,61.4601820188,58.2263592316
combine,2.0,6.0,5.0,False,56.1201249962,62.9048236945,59.8744769211
combine,2.0,6.0,6.0,False,52.8199034699,60.2260312348,56.7183571971
combine,2.0,6.0,7.0,False,54.2677244439,60.8102613365,57.5947023496
combine,2.0,6.0,8.0,False,53.672842914,61.1667868765,57.2674216941
combine,2.0,6.0,9.0,False,55.2614317922,61.1117964051,58.4780394352
combine,2.0,6.0,10.0,False,53.4807104675,58.2495767107,55.9088478247
combine,2.0,7.0,2.0,False,56.6282686329,64.6886306485,60.826049421
combine,2.0,7.0,3.0,False,57.729582335,64.7827180608,60.9671805395
combine,2.0,7.0,4.0,False,55.2717560683,61.5226366166,58.6632652697
combine,2.0,7.0,5.0,False,56.7028691775,63.795650057,60.3486474994
combine,2.0,7.0,6.0,False,53.517997259,60.9994717218,57.8785179276
combine,2.0,7.0,7.0,False,53.354740251,60.8846923322,57.2860369132
combine,2.0,7.0,8.0,False,52.6049046307,59.1751125284,56.0292356434
combine,2.0,7.0,9.0,False,52.9361131349,58.7577241089,55.7574254182
combine,2.0,7.0,10.0,False,53.021641889,59.2615820288,56.5647868362
combine,2.0,8.0,2.0,False,57.5431571611,63.4587584702,60.5323402925
combine,2.0,8.0,3.0,False,55.688278982,62.6521863515,59.4955209066
combine,2.0,8.0,4.0,False,55.4455154431,61.5606605686,58.7203011978
combine,2.0,8.0,5.0,False,56.401316565,63.534324056,60.3876929805
combine,2.0,8.0,6.0,False,55.1543394722,60.2781641164,57.2275910021
combine,2.0,8.0,7.0,False,52.8976880557,58.7998312655,55.9994620874
combine,2.0,8.0,8.0,False,52.8196750262,57.8428742834,55.2987941837
combine,2.0,8.0,9.0,False,51.1322624235,57.7657325611,54.7520471175
combine,2.0,8.0,10.0,False,51.4025588333,55.8773358318,53.6435899546
combine,2.0,9.0,2.0,False,54.3075646577,60.4342494493,57.4617190015
combine,2.0,9.0,3.0,False,56.5162506864,61.9951197359,59.2692382457
combine,2.0,9.0,4.0,False,54.6629684175,58.616641554,56.4594450896
