Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.50166982877,2.43199177959,10,13507,13,1578,15108
numentaTM,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.50166982877,0.861272490375,2,1784,0,237,2023
numentaTM,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.50166982877,2.27896500552,9,3078,4,337,3428
numentaTM,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.50166982877,-2.0,0,1621,0,217,1838
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.50166982877,0.874124955999,3,3025,0,400,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.50166982877,1.71956648491,3,3026,0,399,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.50166982877,-0.265151413255,2,3023,0,403,3428
numentaTM,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.50166982877,-0.11,0,3427,1,0,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.50166982877,-1.32,0,3416,12,0,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.50166982877,-4.11,0,930,1,126,1057
numentaTM,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.50166982877,-0.586465541066,2,1874,2,247,2125
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.50166982877,0.509130282784,1,3021,4,402,3428
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.50166982877,2.15693599879,12,13487,14,1568,15081
numentaTM,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.50166982877,-0.903353675221,25,15784,17,1474,17300
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.50166982877,0.619566484907,5,3016,10,397,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.50166982877,0.846537840284,7,3084,1,336,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.50166982877,-1.24844919792,2,3025,1,400,3428
numentaTM,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.50166982877,0.0,0,3428,0,0,3428
numentaTM,reward_low_FN_rate,realTraffic/speed_6005.csv,0.50166982877,0.402622001756,3,1882,4,236,2125
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.50166982877,0.010436815365,4,13485,16,1578,15083
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.50166982877,2.74971737022,21,13516,15,1564,15116
numentaTM,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.50166982877,1.39154682698,6,8534,1,1029,9570
numentaTM,reward_low_FN_rate,realTraffic/speed_7578.csv,0.50166982877,3.0437637813,5,838,4,111,958
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.50166982877,1.74758193899,8,13568,9,1518,15103
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.50166982877,1.28256984665,6,3543,4,468,4021
numentaTM,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.50166982877,0.75067182427,6,3024,1,397,3428
numentaTM,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.50166982877,0.0,0,3428,0,0,3428
numentaTM,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.50166982877,0.739810214055,1,3024,1,402,3428
numentaTM,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.50166982877,0.785265715235,2,5782,9,724,6517
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.50166982877,2.36312300705,9,13556,3,1584,15152
numentaTM,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.50166982877,-2.0,0,1218,0,163,1381
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.50166982877,-1.42075938109,6,13648,12,1426,15092
numentaTM,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.50166982877,-2.0826061809,1,1406,4,189,1600
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.50166982877,-1.32276024835,10,13524,29,1580,15143
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.50166982877,0.450364385329,3,3544,4,470,4021
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.50166982877,1.50656276002,5,3024,2,397,3428
numentaTM,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.50166982877,0.371148848588,7,1230,3,157,1397
numentaTM,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.50166982877,-0.245392983178,2,4024,11,528,4565
numentaTM,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.50166982877,2.55436755666,3,1155,0,150,1308
numentaTM,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.50166982877,1.32244038715,10,1865,6,240,2121
numentaTM,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.50166982877,1.4060251845,4,1872,3,246,2125
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.50166982877,1.34287390492,4,3023,3,398,3428
numentaTM,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.50166982877,0.0,0,3428,0,0,3428
numentaTM,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.50166982877,-0.817458842021,4,1227,5,161,1397
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.50166982877,0.86067182427,3,3025,0,400,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.50166982877,-0.739227947188,8,3017,6,397,3428
numentaTM,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.50166982877,0.0,0,3428,0,0,3428
numentaTM,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.50166982877,1.34730715517,4,3022,4,398,3428
numentaTM,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.50166982877,0.0102568734532,3,3016,9,400,3428
numentaTM,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.50166982877,-1.73320563119,5,19662,15,2263,21945
numentaTM,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.50166982877,-1.15586192859,2,3455,8,463,3928
numentaTM,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.50166982877,0.802889323906,1,3024,1,402,3428
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.50166982877,1.81232336653,7,13506,8,1580,15101
numentaTM,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.50166982877,-2.0,0,3025,0,403,3428
numentaTM,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.50166982877,0.514788146524,9,3021,4,394,3428
numentaTM,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.50166982877,1.61824330604,3,1218,1,159,1381
numentaTM,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.50166982877,0.642248042048,1,1153,2,152,1308
numentaTM,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.50166982877,2.71443629094,12,13555,9,1576,15152
Totals,,,,22.7814550511,271,299051,296,33224,332842
