datasetType,dataset,htm_standard_score,dataReduction_standard_score,increaseRate
realTraffic,speed_t4013.csv,96.8656228663,96.5446166835,-0.3210061828
realTraffic,TravelTime_387.csv,58.5021904292,60.3127371543,1.8105467251
realKnownCause,rogue_agent_key_updown.csv,20.3560042965,-8.45793569,-28.8139399865
realTweets,Twitter_volume_PFE.csv,61.332793796,52.1707188824,-9.1620749136
artificialNoAnomaly,art_flatline.csv,100.0,100.0,0.0
realAWSCloudwatch,ec2_cpu_utilization_24ae8d.csv,64.7196235906,46.5818352861,-18.1377883045
realAWSCloudwatch,ec2_network_in_257a54.csv,93.0335912135,92.9896283455,-0.043962868
realTweets,Twitter_volume_KO.csv,89.2317034135,58.2831810553,-30.9485223582
realAdExchange,exchange-3_cpm_results.csv,93.1049293676,93.2171724023,0.1122430347
realTweets,Twitter_volume_FB.csv,90.262055543,79.2842562615,-10.9777992815
realAWSCloudwatch,ec2_disk_write_bytes_1ef3de.csv,76.5270996662,72.7347668344,-3.7923328318
realTraffic,TravelTime_451.csv,0.0,0.0,0.0
artificialNoAnomaly,art_daily_small_noise.csv,100.0,100.0,0.0
realTweets,Twitter_volume_UPS.csv,73.0436828603,61.3066800869,-11.7370027734
realTraffic,occupancy_t4013.csv,90.6506296125,90.7804227725,0.12979316
realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,-2.75,0.0,2.75
realAWSCloudwatch,ec2_cpu_utilization_ac20cd.csv,93.7062478,93.8985781149,0.1923303149
realAWSCloudwatch,ec2_cpu_utilization_5f5533.csv,93.0775401037,92.7135329385,-0.3640071652
realAWSCloudwatch,rds_cpu_utilization_e47b3b.csv,92.8989033747,90.1507607483,-2.7481426264
realTweets,Twitter_volume_GOOG.csv,47.5212037418,50.1807872863,2.6595835445
realAdExchange,exchange-2_cpm_results.csv,90.456082651,71.9583187773,-18.4977638737
realAdExchange,exchange-3_cpc_results.csv,92.572792611,61.9930855637,-30.5797070473
realKnownCause,ec2_request_latency_system_failure.csv,78.4311508973,80.7113092403,2.280158343
realTraffic,occupancy_6005.csv,93.0636245188,92.0530044791,-1.0106200397
realAdExchange,exchange-4_cpc_results.csv,58.5419269542,27.5271569193,-31.0147700349
realTweets,Twitter_volume_CRM.csv,62.0595926584,91.909728459,29.8501358006
artificialWithAnomaly,art_increase_spike_density.csv,55.9848490553,0.0,-55.9848490553
artificialNoAnomaly,art_daily_perfect_square_wave.csv,100.0,100.0,0.0
realAdExchange,exchange-4_cpm_results.csv,68.6838795335,46.8969782654,-21.7869012681
realAWSCloudwatch,grok_asg_anomaly.csv,89.6418071588,58.4743260293,-31.1674811295
realAWSCloudwatch,elb_request_count_8c0756.csv,79.1489033748,92.7229453375,13.5740419627
artificialNoAnomaly,art_daily_no_noise.csv,100.0,100.0,0.0
realTweets,Twitter_volume_AAPL.csv,65.1646790016,67.4406219377,2.2759429361
artificialWithAnomaly,art_daily_jumpsdown.csv,92.7663149811,91.8656209901,-0.900693991
realTraffic,speed_6005.csv,86.6311000878,75.2184631891,-11.4126368987
